City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,papatowai,-46.5619,169.4708,6.7900000000000205,93,100,1.4,NZ,1698580607
98,walvis bay,-22.9575,14.5053,18.960000000000036,62,28,4.58,NA,1698580608
99,flying fish cove,-10.4217,105.6791,25.82000000000005,88,75,3.6,CX,1698580608
100,el calafate,-50.3408,-72.2768,1.7700000000000387,59,47,3.51,AR,1698580608
101,margaret river,-33.95,115.0667,11.75,71,8,4.98,AU,1698580608
102,severo-yeniseyskiy,60.3725,93.0408,-9.120000000000005,81,99,7.15,RU,1698580609
103,katsuren-haebaru,26.3369,127.8719,24.010000000000048,70,0,3.6,JP,1698580609
104,tarija,-21.5355,-64.7296,24.629999999999995,29,100,0.63,BO,1698580609
105,salekhard,66.53,66.6019,-12.149999999999977,99,83,0.85,RU,1698580609
106,atafu village,-8.5421,-172.5159,28.370000000000005,76,100,4.91,TK,1698580610
107,petropavlovsk-kamchatsky,53.0452,158.6483,3.0300000000000296,59,0,1.34,RU,1698580610
108,invercargill,-46.4,168.35,7.230000000000018,91,83,0.45,NZ,1698580610
109,mossel bay,-34.1831,22.146,16.960000000000036,54,24,9.7,ZA,1698580610
110,mucumpiz,8.4167,-71.1333,15.629999999999995,87,100,0.31,VE,1698580611
111,tchintabaraden,15.8969,5.7985,35.77000000000004,8,43,1.16,NE,1698580611
112,kapa'a,22.0752,-159.319,25.180000000000007,88,40,5.66,US,1698580611
113,gbarnga,6.9956,-9.4722,32.120000000000005,47,32,1.55,LR,1698580611
114,zabaykal'sk,49.6333,117.3167,-2.019999999999982,23,73,6.7,RU,1698580612
115,kudahuvadhoo,2.6708,72.8944,28.189999999999998,72,99,7.33,MV,1698580612
116,nar'yan-mar,67.6713,53.087,-8.829999999999984,86,100,5.81,RU,1698580612
117,bonthe,7.5264,-12.505,29.060000000000002,68,23,3.39,SL,1698580612
118,kailua-kona,19.6406,-155.9956,25.980000000000018,85,100,1.79,US,1698580359
119,nurota,40.5614,65.6886,24.129999999999995,27,100,3.57,UZ,1698580613
120,stanley,54.868,-1.6985,9.600000000000023,95,75,1.03,GB,1698580613
121,guerrero negro,27.9769,-114.0611,17.340000000000032,84,0,5.78,MX,1698580552
122,zhangjiakou,40.81,114.8794,14.360000000000014,36,49,1.99,CN,1698580614
123,cidreira,-30.1811,-50.2056,24.090000000000032,73,51,4.01,BR,1698580614
124,north vernon,39.0062,-85.6236,11.830000000000041,93,100,2.76,US,1698580385
125,port-vila,-17.7338,168.3219,21.78000000000003,94,20,0.51,VU,1698580614
126,ust-nera,64.5667,143.2,-18.169999999999987,97,30,1.21,RU,1698580615
127,vernon,50.2581,-119.2691,-2.0600000000000023,67,2,2.57,CA,1698580333
128,targovishte,43.2592,26.5892,22.370000000000005,32,2,1.52,BG,1698580615
129,tvoroyri,61.5556,-6.8111,7.610000000000014,69,99,13.38,FO,1698580615
130,lompoc,34.6391,-120.4579,13.29000000000002,74,0,2.06,US,1698580616
131,port mathurin,-19.6833,63.4167,25.08000000000004,73,77,5.55,MU,1698580616
132,jinghong,21.991,100.7341,21.650000000000034,97,84,0.77,CN,1698580616
133,luderitz,-26.6481,15.1594,29.28000000000003,29,0,5.69,NA,1698580616
134,newman,37.3138,-121.0208,10.020000000000039,34,0,1.34,US,1698580617
135,badger,64.8,-147.5333,-5.359999999999957,88,0,0.0,US,1698580617
136,labuan,5.2767,115.2417,30.200000000000045,74,40,1.54,MY,1698580617
137,aljezur,37.3191,-8.8033,20.220000000000027,82,100,7.23,PT,1698580617
138,isangel,-19.55,169.2667,22.200000000000045,83,94,4.43,VU,1698580618
139,st. john's,47.5649,-52.7093,10.660000000000025,81,75,11.32,CA,1698580525
140,chibougamau,49.9168,-74.3659,-4.2099999999999795,68,100,3.6,CA,1698580618
141,olympia,47.0379,-122.9007,2.490000000000009,93,0,0.45,US,1698580555
142,greenville,35.6127,-77.3663,15.970000000000027,98,0,0.0,US,1698580619
143,la passe,45.5549,-0.8967,17.77000000000004,77,100,6.8,FR,1698580619
144,sychevka,55.8252,34.2736,-0.009999999999990905,82,100,4.36,RU,1698580619
145,coronel dorrego,-38.7187,-61.2873,16.02000000000004,15,100,6.64,AR,1698580619
146,beroroha,-21.6667,45.1667,38.200000000000045,16,80,4.26,MG,1698580620
147,midland,31.9974,-102.0779,5.3700000000000045,100,100,10.8,US,1698580620
148,hasaki,35.7333,140.8333,15.220000000000027,61,56,10.87,JP,1698580620
149,utrik,11.2278,169.8474,28.07000000000005,73,99,9.57,MH,1698580620
150,louisville,38.2542,-85.7594,16.53000000000003,95,100,4.63,US,1698580564
151,changyon,38.2508,125.0961,12.840000000000032,90,2,1.54,KP,1698580621
152,klyuchi,52.2667,79.1667,-0.7299999999999613,97,100,4.02,RU,1698580621
153,dom pedrito,-30.9828,-54.6731,22.05000000000001,84,25,3.01,BR,1698580621
154,cartagena del chaira,1.3349,-74.8429,22.30000000000001,98,100,0.69,CO,1698580622
155,klaksvik,62.2266,-6.589,7.510000000000048,69,98,11.87,FO,1698580622
156,tonghae,37.5439,129.1069,13.170000000000016,75,0,3.18,KR,1698580622
157,port alfred,-33.5906,26.891,16.29000000000002,54,66,5.92,ZA,1698580623
158,kaoma,-14.7833,24.8,32.950000000000045,27,50,0.76,ZM,1698580623
159,hilo,19.7297,-155.09,21.810000000000002,82,40,2.06,US,1698580624
160,quelimane,-17.8786,36.8883,31.970000000000027,70,20,6.69,MZ,1698580335
161,susanville,40.4163,-120.653,-0.6599999999999682,58,0,3.09,US,1698580624
162,greymouth,-42.4667,171.2,6.650000000000034,80,80,2.08,NZ,1698580624
163,rauma,61.1272,21.5113,0.020000000000038654,61,11,3.47,FI,1698580625
164,olinda,-8.0089,-34.8553,26.850000000000023,69,75,8.75,BR,1698580625
165,khurda,20.1833,85.6167,27.950000000000045,55,31,1.58,IN,1698580625
166,jaguariaiva,-24.2511,-49.7058,21.27000000000004,97,100,4.03,BR,1698580626
